2015-06-09 12:13:40,517 [13] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 1ms)
2015-06-09 12:13:40,518 [13] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-06-09 12:13:40,519 [13] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 1ms)
2015-06-09 12:13:41,564 [13] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2015-06-09 12:13:41,817 [13] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2015-06-09 12:13:42,507 [13] INFO  Umbraco.Web.UmbracoModule - [Thread 15] Setting OriginalRequestUrl: localhost:8771/umbraco
2015-06-09 12:13:42,595 [13] INFO  umbraco.content - [Thread 15] Load Xml from file...
2015-06-09 12:13:42,599 [13] INFO  umbraco.content - [Thread 15] Successfully loaded Xml from file.
2015-06-09 12:13:42,772 [13] INFO  Umbraco.Core.PluginManager - [Thread 15] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-06-09 12:13:42,773 [13] INFO  Umbraco.Core.PluginManager - [Thread 15] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
2015-06-09 12:25:58,060 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 38] Down, tasks completed.
2015-06-09 12:25:58,060 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 38] Down, tasks completed.
2015-06-09 12:25:58,060 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.Scheduling.IBackgroundTask, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 38] Down, tasks completed.
2015-06-09 12:25:58,098 [13] INFO  umbraco.content - [Thread 21] Save Xml to file...
2015-06-09 12:25:58,110 [13] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner`1[[Umbraco.Web.PublishedCache.XmlPublishedCache.XmlCacheFilePersister, umbraco, Version=1.0.5610.18898, Culture=neutral, PublicKeyToken=null]] - [Thread 26] Down, tasks completed.
2015-06-09 12:25:58,636 [13] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 24] Application shutdown. Reason: ConfigurationChange
2015-06-09 12:26:45,396 [19] INFO  Umbraco.Core.PluginManager - [Thread 29] Determining hash of code files on disk
2015-06-09 12:26:45,421 [19] INFO  Umbraco.Core.PluginManager - [Thread 29] Hash determined (took 18ms)
2015-06-09 12:26:45,436 [19] INFO  Umbraco.Core.PluginManager - [Thread 29] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
